Linjenr,Løpenummer,Navn,Type,Hovedeier,Org_nr__hovedeier,Fylke,Fylkesnr_,Kommune,Kommunenr_,Dato_for_første_utnyttelse_av_fallet,Dato_for_eldste_kraftproduserende_del,Maks_ytelse_.MW.,Midl__årsproduksjon_.ref__1981.2010._.GWh.,Brutto_fallhøyde_.m.,Maksimal_slukeevne_.m3.s.,Energiekvivalent_.kWh.m3.,Elspotområde,Reginenr,Vannregion,Year_start,PZ
1170,1990,Osdalen,Kraftverk,TUSSA_ENERGI_AS,876795442,Møre_og_Romsdal,15,Volda,77,02.12.2020,02.12.2020,4.3,15.7,176.5,3,0.398,3,094.4F,94,2020,5
1267,2023,Bordalselva,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Møre_og_Romsdal,15,Molde,6,11.11.2020,11.11.2020,2.2,6.8,296,0.9,0.679,3,105.2,105,2020,5
1271,2012,Malmelva,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Møre_og_Romsdal,15,Hustadvika,79,29.04.2020,29.04.2020,2.1,5.5,64.5,3.8,0.154,3,107.2Z,107,2020,5
1371,2005,Mølnåa,Kraftverk,SELBU_ENERGIVERK_AS,980498646,Trøndelag,50,Selbu,32,03.03.2020,03.03.2020,1.5,4.2,131.65,1.4,0.298,3,123.C2A,123,2020,6
1397,1972,Gudåa,Kraftverk,MERAKER_KRAFT_AS,913293940,Trøndelag,50,Meråker,34,04.06.2020,04.06.2020,4.6,11.2,248,2.2,0.581,3,124.C3Z,124,2020,6
1540,1983,Nedre_Leiråga,Kraftverk,MIP_MILJØKRAFT_AS,819150842,Nordland,18,Rana,33,03.08.2020,03.08.2020,3.15,8.6,34.65,10.5,0.083,4,156.CCAZ,156,2020,8
1558,1982,Øvre_Leiråga,Kraftverk,MIP_MILJØKRAFT_AS,819150842,Nordland,18,Rana,33,23.03.2020,23.03.2020,8.51,26.5,183.3,6.4,0.369,4,156.CCAZ,156,2020,8
1571,1849,Storåvatn_1,Kraftverk,SMISTO_KRAFT_AS,915372805,Nordland,18,Rødøy,36,04.09.2020,04.09.2020,8,25,442.5,2,1.111,4,159.2Z,159,2020,8
1612,1986,Salhuselva,Kraftverk,SALHUSELVA_KRAFT_AS,922643172,Nordland,18,Steigen,48,11.12.2020,11.12.2020,3.3,11.3,195,2.2,0.417,4,168.6B,168,2020,9
1676,2002,Bjørgelva,Kraftverk,BJØRGELVA_KRAFT_AS,921094868,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Sørreisa,19,17.12.2020,17.12.2020,2.42,7.41,232.3,1.23,0.547,4,193.4,193,2020,10
1703,1965,Kjeldalselva,Kraftverk,KJELDALSELVA_KRAFT_AS,997092864,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Storfjord-Omasvuotna-Omasvuono,25,05.06.2020,05.06.2020,5,12.6,233.7,2.5,0.556,4,204.7,204,2020,11
173,1977,Todøla,Kraftverk,TODØLA_KRAFTVERK_AS,918335838,Viken,30,Nesbyen,40,10.06.2019,10.06.2019,3.2,8.3,70,6.3,0.141,5,012.CC7A2,12,2019,1
314,1960,Kvitåi,Kraftverk,SMÅKRAFT_AS,984616155,Vestfold_og_Telemark,38,Tinn,18,10.04.2019,10.04.2019,2.58,6.24,267.5,1.23,0.583,2,016.H2B,16,2019,1
340,1978,Nye_Suvdøla,Kraftverk,DRANGEDAL_KRAFT_AS,924862696,Vestfold_og_Telemark,38,Drangedal,15,13.06.2019,13.06.2019,9,44.63,347,3.2,0.781,2,017.FA0,17,2019,1
387,1959,Trontveitåna,Kraftverk,VEST-TELEMARK_KRAFTLAG_AS,955996836,Vestfold_og_Telemark,38,Nissedal,22,08.05.2019,08.05.2019,1.24,3.7,194,0.781,0.441,2,019.F211,19,2019,1
413,1938,Søråni,Kraftverk,SØRÅNI_KRAFT_AS,918196986,Agder,42,Bygland,20,27.09.2019,27.09.2019,7.7,19.9,235,4,0.535,2,021.D5B,21,2019,1
481,1932,Rusdalsåni,Kraftverk,RUSDALSÅNI_KRAFT_AS,918085394,Rogaland,11,Lund,12,28.05.2019,28.05.2019,5.49,17.8,206,3.05,0.5,2,026.BF,26,2019,1
674,1992,Milja,Kraftverk,OLSETH_MAGNE,969906228,Vestland,46,Etne,11,14.08.2019,14.08.2019,0.12,0.55,56.95,0.28,0.121,2,42.121,42,2019,3
790,1970,Ljotå,Kraftverk,LJOTÅ_KRAFTVERK_AS,994724819,Vestland,46,Bjørnafjorden,24,23.12.2019,23.12.2019,1.65,5.16,153.1,1.32,0.347,2,53.8,53,2019,3
851,1964,Eidsland_2,Kraftverk,EIDSLAND_ENERGI_AS,921662114,Vestland,46,Vaksdal,28,20.12.2019,20.12.2019,0.63,1.3,243,0.32,0.547,5,063.A10,63,2019,4
945,1979,Holen,Kraftverk,LUSTER_SMÅKRAFT_AS,988913480,Vestland,46,Luster,44,12.12.2019,12.12.2019,8.2,22.1,234.35,4.06,0.561,5,077.C2Z,77,2019,4
993,1993,Bakkeelva,Kraftverk,TROLLEKRAFT_AS,920387896,Vestland,46,Askvoll,45,29.11.2019,29.11.2019,2.5,8,222,1.4,0.496,3,083.42A,83,2019,4
1025,1929,Anga,Kraftverk,ANGA_KRAFT_AS,911605384,Vestland,46,Sunnfjord,47,01.07.2019,01.07.2019,7.8,21.7,56,16.2,0.134,3,084.AA0,84,2019,4
1067,1941,Steindal_(Steindal),Kraftverk,STEINDAL_KRAFTVERK_AS,918330178,Vestland,46,Kinn,2,11.07.2019,11.07.2019,4.2,13,183.4,2.95,0.395,3,085.A5B,85,2019,4
1068,1942,Steindal_(Støylselva),Kraftverk,STEINDAL_KRAFTVERK_AS,918330178,Vestland,46,Kinn,2,11.07.2019,11.07.2019,3.1,10,178.9,2.03,0.424,3,085.A5D,85,2019,4
1076,1933,Setredalen,Kraftverk,SETREDALEN_KRAFT_AS,995773570,Vestland,46,Bremanger,48,06.03.2019,06.03.2019,4.7,20,376.5,1.45,0.9,3,086.5A,86,2019,4
1150,1962,Helgåa,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Møre_og_Romsdal,15,Vanylven,11,19.11.2019,19.11.2019,2.08,6.6,376.51,0.65,0.888,3,093.2C,93,2019,5
1152,1961,Røfsdalselva,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Møre_og_Romsdal,15,Vanylven,11,03.06.2019,03.06.2019,3.21,13,212.3,1.95,0.457,3,093.2C,93,2019,5
1228,1958,Vaksvik,Kraftverk,CK_KRAFTHOLDING_MIDT-NORGE_AS,993016608,Møre_og_Romsdal,15,Ålesund,7,13.02.2019,13.02.2019,7.74,21,189,5.2,0.413,3,100.3Z,100,2019,5
1262,1953,Skorga,Kraftverk,SKORGA_KRAFTVERK_AS,999577431,Møre_og_Romsdal,15,Molde,6,24.01.2019,24.01.2019,2.9,10,319,1.1,0.732,3,104.13,104,2019,5
1264,1968,Slemmå,Kraftverk,SLEMMÅ_KRAFT_AS,813564742,Møre_og_Romsdal,15,Rauma,39,04.09.2019,04.09.2019,1.8,6,312.2,0.67,0.274,3,104.12Z,104,2019,5
1307,1971,Heggemselva,Kraftverk,HEGGEMSELVA_MIKROKRAFTVERK_AS,921251742,Møre_og_Romsdal,15,Surnadal,66,18.04.2019,18.04.2019,0.075,0.3,66.5,0.14,0.149,3,112.42,112,2019,6
1407,1904,Sagelva,Kraftverk,SAGELVA_KRAFTVERK_AS,915311555,Trøndelag,50,Stjørdal,35,30.03.2019,30.03.2019,2.8,8.6,162.5,2.1,0.37,3,124.C30,124,2019,6
1410,1995,Grønningselva,Kraftverk,MOKRAFT_AS,991509003,Trøndelag,50,Levanger,37,19.12.2019,19.12.2019,0.95,2.77,45,2.6,0.101,3,125.4F2,125,2019,6
1496,1856,Storelva,Kraftverk,HELGELAND_KRAFT_VANNKRAFT_AS,917424896,Nordland,18,Brønnøy,13,09.01.2019,09.01.2019,8,23,87.1,10.4,0.214,4,144.7B,144,2019,7
1514,1950,Vassenden,Kraftverk,HELGELAND_KRAFT_VANNKRAFT_AS,917424896,Nordland,18,Leirfjord,22,19.07.2019,19.07.2019,8.56,37,416.7,2.7,0.881,4,153.22B,153,2019,8
1631,1996,Kaldåga,Kraftverk,KALDÅGA_SMÅKRAFTVERK_AS,912295524,Nordland,18,Narvik,6,04.12.2019,04.12.2019,2.1,5.5,294,0.88,0.655,4,173.31,173,2019,9
86,1804,Rosten,Kraftverk,HAFSLUND_ECO_VANNKRAFT_AS,976894677,Innlandet,34,Sel,37,15.03.2018,15.03.2018,80,192,103.5,85,0.261,3,002.DJ31,2,2018,1
130,1935,Grøslandselva,Kraftverk,SMÅKRAFT_GREEN_BOND_1_AS,921075758,Viken,30,Flå,39,14.06.2018,14.06.2018,5.02,9.9,203.2,3,0.465,5,012.CC4B,12,2018,1
635,1920,Gryte_II,Kraftverk,GRYTE_KRAFT_AS,988119342,Rogaland,11,Suldal,34,15.02.2018,15.02.2018,0.5,2.4,182.5,0.32,0.434,2,037.6b,37,2018,2
649,1927,Sandvik,Kraftverk,SANDVIK_KRAFTVERK_AS,918982515,Rogaland,11,Vindafjord,60,14.03.2018,14.03.2018,0.99,3.5,132.4,0.88,0.313,2,38.42,38,2018,2
730,1944,Haugafossen,Kraftverk,HARDANGER_ENERGI_AS,983502601,Vestland,46,Ullensvang,18,12.09.2018,12.09.2018,5.43,15,42,14.8,0.102,5,047.2A0,47,2018,3
738,1906,Bråberg,Kraftverk,BRÅBERG_KRAFT_AS,998784840,Vestland,46,Ullensvang,18,18.04.2018,18.04.2018,1.95,6.4,153,1.58,0.343,5,048.2A0,48,2018,3
749,1930,Espeelvi,Kraftverk,ESPEELVI_KRAFT_AS,998805198,Vestland,46,Ullensvang,18,09.05.2018,09.05.2018,4.56,12,615,0.85,1.49,5,049.2A,49,2018,3
787,1846,Gjønaelva,Kraftverk,GJØNAELVA_KRAFTVERK_AS,991492593,Vestland,46,Bjørnafjorden,24,16.05.2018,16.05.2018,3.2,10.1,238.5,1.64,0.542,2,053.C2B,53,2018,3
831,1821,Vangjolo,Kraftverk,VANGJOLO_KRAFT_AS,914462703,Vestland,46,Voss,21,31.07.2018,31.07.2018,9.5,26.7,481.55,2.23,1.183,5,6.2E+01,62,2018,4
