year,prod_area_id,prod_area_name,prod_area_name2,N_discharge_ton,P_discharge_ton
2011,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,902.5078888613416,42.06940509178662
2011,2,Ryfylke,2: Ryfylke,1236.7295118934296,106.57195734198237
2011,3,Karmøy - Sotra,3: Karmøy - Sotra,1894.0698263945105,232.89599111636542
2011,4,Sotra - Stadt,4: Sotra - Stadt,733.7382137018623,89.07115848773306
2011,5,Stad - Hustadvika,5: Stad - Hustadvika,1000.905706684766,135.09038420124236
2011,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1430.630723854887,167.59641033686273
2011,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1512.293558322509,174.69082579922548
2011,8,Helgeland - Bodø,8: Helgeland - Bodø,1055,165.6
2011,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1045.4152431906732,163.39588835070248
2011,10,Andfjorden - Senja,10: Andfjorden - Senja,798.2458062221729,106.55677952298066
2011,11,Kvaløya - Loppa,11: Kvaløya - Loppa,776.7600951997091,101.87449554437181
2011,12,Vest-Finnmark,12: Vest-Finnmark,311.2321151029686,42.21421547256376
2011,13,Øst-Finnmark,13: Øst-Finnmark,308,41.8
2012,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,935.2858741298242,41.5454233314693
2012,2,Ryfylke,2: Ryfylke,1243.7504277638338,113.63179345373233
2012,3,Karmøy - Sotra,3: Karmøy - Sotra,1897.6971345188954,234.46090059325357
2012,4,Sotra - Stadt,4: Sotra - Stadt,736.9805959599829,90.30539233546838
2012,5,Stad - Hustadvika,5: Stad - Hustadvika,1009.6120315625413,136.7156111042929
2012,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1432.3481457891453,167.0924051127391
2012,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1500.1585112366713,171.82979566653276
2012,8,Helgeland - Bodø,8: Helgeland - Bodø,1004.5,155.9
2012,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,993.8062343324303,153.88709677453747
2012,10,Andfjorden - Senja,10: Andfjorden - Senja,718.0379397676475,101.97882546341609
2012,11,Kvaløya - Loppa,11: Kvaløya - Loppa,694.8451183951815,97.70359693610015
2012,12,Vest-Finnmark,12: Vest-Finnmark,318.2149066173603,43.37718296342727
2012,13,Øst-Finnmark,13: Øst-Finnmark,315.6,43
2013,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,949.6632600018131,43.25995387225685
2013,2,Ryfylke,2: Ryfylke,1265.0929886500096,119.33552791113102
2013,3,Karmøy - Sotra,3: Karmøy - Sotra,1944.6245584381486,226.33566833090606
2013,4,Sotra - Stadt,4: Sotra - Stadt,748.0311771392761,87.8099632326709
2013,5,Stad - Hustadvika,5: Stad - Hustadvika,1003.8615370440946,135.63628733968648
2013,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1433.7223413800168,178.21061463460683
2013,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1504.3410884495936,185.17577683219784
2013,8,Helgeland - Bodø,8: Helgeland - Bodø,1009.6,153.9
2013,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,998.87146916446045,152.04701654719943
2013,10,Andfjorden - Senja,10: Andfjorden - Senja,722.2066586875683,104.26271843178026
2013,11,Kvaløya - Loppa,11: Kvaløya - Loppa,698.9305676993174,100.29281864286743
2013,12,Vest-Finnmark,12: Vest-Finnmark,319.63342287192853,43.99089870755189
2013,13,Øst-Finnmark,13: Øst-Finnmark,317,43.6
2014,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,961.83761880919,45.05716089092438
2014,2,Ryfylke,2: Ryfylke,1244.2091834826065,118.58811830039501
2014,3,Karmøy - Sotra,3: Karmøy - Sotra,1927.1131908884086,238.45535191230442
2014,4,Sotra - Stadt,4: Sotra - Stadt,741.5001117409925,90.78811011192956
