"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"76","1941",10720,"(-999.0,-999.0)",5.2,NA,0,0,2007,6,1,11,"Kvaløya - Loppa"
"77","1941",10720,"(-999.0,-999.0)",10.8,NA,0,0,2007,9,1,11,"Kvaløya - Loppa"
"78","1941",10720,"(-999.0,-999.0)",10,NA,0.25,0,2007,10,1,11,"Kvaløya - Loppa"
"79","1941",10720,"(-999.0,-999.0)",8.8,NA,1,0.2,2007,11,1,11,"Kvaløya - Loppa"
"80","1941",10720,"(-999.0,-999.0)",6.7,NA,0.2,1,2007,12,1,11,"Kvaløya - Loppa"
"81","1941",10720,"(-999.0,-999.0)",6.4,NA,0.35,0.05,2008,1,1,11,"Kvaløya - Loppa"
"82","1941",10720,"(-999.0,-999.0)",4.8,NA,0.35,0.05,2008,2,1,11,"Kvaløya - Loppa"
"83","1941",10720,"(-999.0,-999.0)",3.6,NA,0,0,2008,3,1,11,"Kvaløya - Loppa"
"84","1941",10720,"(-999.0,-999.0)",3.3,NA,0,0,2008,4,1,11,"Kvaløya - Loppa"
"85","1941",10720,"(-999.0,-999.0)",3.5,NA,0,0,2008,5,1,11,"Kvaløya - Loppa"
"86","1941",10720,"(-999.0,-999.0)",4.3,NA,0,0,2008,6,1,11,"Kvaløya - Loppa"
"87","1941",10720,"(-999.0,-999.0)",7.5,NA,0,0,2008,7,1,11,"Kvaløya - Loppa"
"88","1941",10720,"(-999.0,-999.0)",8.4,NA,0,0,2008,10,1,11,"Kvaløya - Loppa"
"89","1941",10720,"(-999.0,-999.0)",8,NA,0,0,2008,11,1,11,"Kvaløya - Loppa"
"90","1941",10720,"(-999.0,-999.0)",7,NA,0,0,2008,12,1,11,"Kvaløya - Loppa"
"91","1941",10720,"(-999.0,-999.0)",6.2,NA,0,0,2009,1,1,11,"Kvaløya - Loppa"
"92","1941",10720,"(-999.0,-999.0)",4.5,NA,0,0,2009,2,1,11,"Kvaløya - Loppa"
"93","1941",10720,"(-999.0,-999.0)",3.4,NA,0,0,2009,3,1,11,"Kvaløya - Loppa"
