"","year","prod_area_id","prod_area_name","feed_used_kg","escapees_count","deadfish_count"
"155",2016,12,"Vest-Finnmark",101275131,0,3570325
"156",2016,13,"Øst-Finnmark",10599769,0,148370
"157",2017,1,"Svenskegrensen - Jæren",16045774,0,360137
"158",2017,2,"Ryfylke",81782665,0,3260622
"159",2017,3,"Karmøy - Sotra",243685157,4934,10026003
"160",2017,4,"Sotra - Stadt",210331308,30,8288788
"161",2017,5,"Stad - Hustadvika",81485110,0,3371435
"162",2017,6,"Nordmøre - Sør-Trøndelag",284544056,6,9311344
"163",2017,7,"Nord-Trøndelag - Bindal",120415655,0,1993351
"164",2017,8,"Helgeland - Bodø",162269853,0,2506569
"165",2017,9,"Vestfjorden - Vesterålen",140541855,5250,2454577
"166",2017,10,"Andfjorden - Senja",138535346,0,2293295
"167",2017,11,"Kvaløya - Loppa",89990790,0,1557784
"168",2017,12,"Vest-Finnmark",116176077,0,2673410
"169",2017,13,"Øst-Finnmark",14525566,0,114415
"170",2018,1,"Svenskegrensen - Jæren",24451833,0,453058
"171",2018,2,"Ryfylke",84058267,0,2960990
"172",2018,3,"Karmøy - Sotra",231282187,4742,9507982
"173",2018,4,"Sotra - Stadt",203306308,0,7868814
"174",2018,5,"Stad - Hustadvika",87758360,0,2117015
"175",2018,6,"Nordmøre - Sør-Trøndelag",319738374,0,8950959
"176",2018,7,"Nord-Trøndelag - Bindal",127941218,106876,2134118
"177",2018,8,"Helgeland - Bodø",180477652,40,4043632
"178",2018,9,"Vestfjorden - Vesterålen",141218489,15,3149650
"179",2018,10,"Andfjorden - Senja",134031687,3486,2826393
"180",2018,11,"Kvaløya - Loppa",87194934,0,2102257
"181",2018,12,"Vest-Finnmark",117362645,6881,3178401
"182",2018,13,"Øst-Finnmark",10289702,0,251495
"183",2019,1,"Svenskegrensen - Jæren",17793314,0,834756
"184",2019,2,"Ryfylke",99303422,0,3013503
"185",2019,3,"Karmøy - Sotra",240914255,0,9512099
"186",2019,4,"Sotra - Stadt",230965186,17213,8295695
"187",2019,5,"Stad - Hustadvika",100055345,2101,2456029
"188",2019,6,"Nordmøre - Sør-Trøndelag",286760154,29864,5871950
"189",2019,7,"Nord-Trøndelag - Bindal",141398659,49525,2045797
"190",2019,8,"Helgeland - Bodø",203316042,4447,4225386
"191",2019,9,"Vestfjorden - Vesterålen",151524771,0,7432057
"192",2019,10,"Andfjorden - Senja",142367216,0,6947868
"193",2019,11,"Kvaløya - Loppa",81179693,0,1993593
"194",2019,12,"Vest-Finnmark",145040153,0,3101288
"195",2019,13,"Øst-Finnmark",9329801,0,454151
"196",2020,1,"Svenskegrensen - Jæren",27722645,0,760952
"197",2020,2,"Ryfylke",101543178,0,3732576
"198",2020,3,"Karmøy - Sotra",269898835,0,9108398
"199",2020,4,"Sotra - Stadt",226144185,5324,9065605
"200",2020,5,"Stad - Hustadvika",91230465,0,2391305
"201",2020,6,"Nordmøre - Sør-Trøndelag",355256349,860,8949628
"202",2020,7,"Nord-Trøndelag - Bindal",126723061,0,2812062
"203",2020,8,"Helgeland - Bodø",214608554,2,3682793
"204",2020,9,"Vestfjorden - Vesterålen",188649747,0,3627884
"205",2020,10,"Andfjorden - Senja",138802220,8,3043657
"206",2020,11,"Kvaløya - Loppa",94616515,2,3218831
"207",2020,12,"Vest-Finnmark",145394179,19,4361254
"208",2020,13,"Øst-Finnmark",14159676,0,126608
