year,treatment_type,prod_area_id,prod_area_name,sum_treaments
2020,Bath,8,Helgeland - Bodø,15
2020,Bath,9,Vestfjorden - Vesterålen,24
2020,Bath,10,Andfjorden - Senja,38
2020,Bath,11,Kvaløya - Loppa,11
2020,Bath,12,Vest-Finnmark,31
2020,Bath,13,Øst-Finnmark,4
2020,Feed,1,Svenskegrensen - Jæren,9
2020,Feed,2,Ryfylke,14
2020,Feed,3,Karmøy - Sotra,65
2020,Feed,4,Sotra - Stadt,127
2020,Feed,5,Stad - Hustadvika,24
2020,Feed,6,Nordmøre - Sør-Trøndelag,43
2020,Feed,7,Nord-Trøndelag - Bindal,53
2020,Feed,8,Helgeland - Bodø,92
2020,Feed,9,Vestfjorden - Vesterålen,110
2020,Feed,10,Andfjorden - Senja,79
2020,Feed,11,Kvaløya - Loppa,38
2020,Feed,12,Vest-Finnmark,39
2020,Feed,13,Øst-Finnmark,2
2021,Bath,2,Ryfylke,20
2021,Bath,3,Karmøy - Sotra,59
2021,Bath,4,Sotra - Stadt,34
2021,Bath,5,Stad - Hustadvika,2
2021,Bath,6,Nordmøre - Sør-Trøndelag,18
2021,Bath,7,Nord-Trøndelag - Bindal,5
2021,Bath,8,Helgeland - Bodø,5
2021,Bath,9,Vestfjorden - Vesterålen,22
2021,Bath,10,Andfjorden - Senja,29
2021,Bath,11,Kvaløya - Loppa,12
2021,Bath,12,Vest-Finnmark,12
2021,Feed,2,Ryfylke,21
2021,Feed,3,Karmøy - Sotra,45
2021,Feed,4,Sotra - Stadt,100
2021,Feed,5,Stad - Hustadvika,25
2021,Feed,6,Nordmøre - Sør-Trøndelag,54
2021,Feed,7,Nord-Trøndelag - Bindal,35
2021,Feed,8,Helgeland - Bodø,75
2021,Feed,9,Vestfjorden - Vesterålen,66
2021,Feed,10,Andfjorden - Senja,61
2021,Feed,11,Kvaløya - Loppa,32
2021,Feed,12,Vest-Finnmark,33
2021,Feed,13,Øst-Finnmark,2
