"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","escaped_fish_count"
2006,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",96270
2006,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",0
2006,"NORDLAND","1859","Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen",0
2006,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",0
2006,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",0
2006,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",0
2006,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",0
2006,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",0
2006,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",0
2006,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",0
2006,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",0
2006,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",0
2006,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",0
2006,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",0
2006,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",0
2006,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",0
2006,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",0
2006,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",0
2006,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",0
2006,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",0
2006,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",0
2006,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",0
2006,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",0
2006,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",0
2006,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",0
2006,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",0
2006,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",0
2006,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",294218
2006,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",0
2006,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",0
2006,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",0
2006,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",0
2006,"FINNMARK","2019","Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark",0
2006,"FINNMARK","2027","c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark",0
2006,"FINNMARK","2030","Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark",0
2006,"UOPPGITT","0215","Frogn",115.37293,29.67292071,1,"Svenskegrensen - Jæren",0
2006,"ROGALAND OG AGDER","0926","Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren",0
2007,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",0
2007,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",0
2007,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",12
2007,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",0
2007,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",0
2007,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",0
2007,"HORDALAND","1201","Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra",0
2007,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",0
2007,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",0
2007,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",115000
2007,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",0
2007,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",0
2007,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",0
2007,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",0
2007,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",0
2007,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",30500
2007,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",0
2007,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",0
2007,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",0
2007,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",145000
2007,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",0
2007,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",0
2007,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",0
2007,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",0
2007,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",0
2007,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",0
2007,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",0
2007,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",12540
2007,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",0
2007,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",2000
2007,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",0
2007,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",0
