"year","county","prod_area_name","prod_area_id","production_per_region"
2014,"NORDLAND","Helgeland - Bodø",8,117609841.023
2014,"NORDLAND","Nord-Trøndelag - Bindal",7,11092227.009
2014,"NORDLAND","Vestfjorden - Vesterålen",9,110883940.321
2014,"ROGALAND OG AGDER","Karmøy - Sotra",3,8909876.276
2014,"ROGALAND OG AGDER","Ryfylke",2,40482543.074
2014,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,16535626.743
2014,"SOGN OG FJORDANE","Sotra - Stadt",4,113671380.074
2014,"TROMS","Andfjorden - Senja",10,98595955.529
2014,"TROMS","Kvaløya - Loppa",11,51074482.462
2014,"TRØNDELAG","Nord-Trøndelag - Bindal",7,102647934.622
2014,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,216979713.456
2014,"UOPPGITT","Svenskegrensen - Jæren",1,2463.257
2015,"FINNMARK","Øst-Finnmark",13,5428697.683
2015,"FINNMARK","Vest-Finnmark",12,68606916.564
2015,"HORDALAND","Karmøy - Sotra",3,143701505.656
2015,"HORDALAND","Sotra - Stadt",4,54049420.814
2015,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,90433422.6
2015,"MØRE OG ROMSDAL","Stad - Hustadvika",5,46640238.845
2015,"NORDLAND","Helgeland - Bodø",8,133230094.313
2015,"NORDLAND","Nord-Trøndelag - Bindal",7,15467383.728
2015,"NORDLAND","Vestfjorden - Vesterålen",9,91494126.817
2015,"ROGALAND OG AGDER","Karmøy - Sotra",3,11912208.981
2015,"ROGALAND OG AGDER","Ryfylke",2,53009344.984
2015,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,15907305.306
2015,"SOGN OG FJORDANE","Sotra - Stadt",4,108724244.677
2015,"TROMS","Andfjorden - Senja",10,115207642.404
2015,"TROMS","Kvaløya - Loppa",11,59542759.672
2015,"TRØNDELAG","Nord-Trøndelag - Bindal",7,89264653.164
2015,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,140428395.567
2015,"UOPPGITT","Svenskegrensen - Jæren",1,NA
2016,"FINNMARK","Øst-Finnmark",13,8529145.469
2016,"FINNMARK","Vest-Finnmark",12,69050863.192
2016,"HORDALAND","Karmøy - Sotra",3,141255940.615
2016,"HORDALAND","Sotra - Stadt",4,42034161.46
2016,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,32475155.411
2016,"MØRE OG ROMSDAL","Stad - Hustadvika",5,48973253.605
2016,"NORDLAND","Helgeland - Bodø",8,124515227.941
2016,"NORDLAND","Nord-Trøndelag - Bindal",7,18479737.627
2016,"NORDLAND","Vestfjorden - Vesterålen",9,104811296.152
2016,"ROGALAND OG AGDER","Karmøy - Sotra",3,10457147.231
2016,"ROGALAND OG AGDER","Ryfylke",2,49768239.375
2016,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,16479895.993
2016,"SOGN OG FJORDANE","Sotra - Stadt",4,106223209.342
2016,"TROMS","Andfjorden - Senja",10,105528981.847
2016,"TROMS","Kvaløya - Loppa",11,49684079.939
2016,"TRØNDELAG","Nord-Trøndelag - Bindal",7,85087531.56
2016,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,163076868.525
2016,"UOPPGITT","Svenskegrensen - Jæren",1,NA
2017,"FINNMARK","Øst-Finnmark",13,14131822.854
2017,"FINNMARK","Vest-Finnmark",12,78528302.301
2017,"HORDALAND","Karmøy - Sotra",3,141999958.072
2017,"HORDALAND","Sotra - Stadt",4,47751914.109
2017,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,94656848.702
2017,"MØRE OG ROMSDAL","Stad - Hustadvika",5,55857568.362
2017,"NORDLAND","Helgeland - Bodø",8,127554029.928
2017,"NORDLAND","Nord-Trøndelag - Bindal",7,24436006.931
2017,"NORDLAND","Vestfjorden - Vesterålen",9,110127353.909
2017,"ROGALAND OG AGDER","Karmøy - Sotra",3,12944811.181
2017,"ROGALAND OG AGDER","Ryfylke",2,54136663.072
2017,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,13439724.89
2017,"SOGN OG FJORDANE","Sotra - Stadt",4,91908405.275
2017,"TROMS","Andfjorden - Senja",10,122648144.704
2017,"TROMS","Kvaløya - Loppa",11,72912675.615
2017,"TRØNDELAG","Nord-Trøndelag - Bindal",7,84039734.171
2017,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,130069094.932
2017,"UOPPGITT","Svenskegrensen - Jæren",1,NA
2018,"FINNMARK","Øst-Finnmark",13,7393319.596
2018,"FINNMARK","Vest-Finnmark",12,97173554.494
2018,"HORDALAND","Karmøy - Sotra",3,137759949.192
2018,"HORDALAND","Sotra - Stadt",4,40230454.436
2018,"MØRE OG ROMSDAL","Nordmøre - Sør-Trøndelag",6,53293078.052
2018,"MØRE OG ROMSDAL","Stad - Hustadvika",5,63485184.643
2018,"NORDLAND","Helgeland - Bodø",8,140542406.866
2018,"NORDLAND","Nord-Trøndelag - Bindal",7,4181372
2018,"NORDLAND","Vestfjorden - Vesterålen",9,117714773.964
2018,"ROGALAND OG AGDER","Karmøy - Sotra",3,10938357.434
2018,"ROGALAND OG AGDER","Ryfylke",2,48866773.277
2018,"ROGALAND OG AGDER","Svenskegrensen - Jæren",1,19316471.307
2018,"SOGN OG FJORDANE","Sotra - Stadt",4,86377814.286
2018,"TROMS","Andfjorden - Senja",10,105289431.795
2018,"TROMS","Kvaløya - Loppa",11,66814719.453
2018,"TRØNDELAG","Nord-Trøndelag - Bindal",7,91291389.563
2018,"TRØNDELAG","Nordmøre - Sør-Trøndelag",6,197158607.025
