"year","county","municip_number","production_final","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name"
2005,"ROGALAND OG AGDER","1004",10465724.13,"Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren"
2005,"ROGALAND OG AGDER","1102",NA,"Sandnes",354.2062791,50.16293802,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1106",328372.836,"Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra"
2005,"ROGALAND OG AGDER","1122",420758.311,"Gjesdal",626.4959988,8.515393126,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1127",384996.889,"Randaberg",90.72090124,66.0074138,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1129",NA,"Forsand",846.3640797,66.30523597,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1133",7657723.26,"Hjelmeland",1195.202576,106.3627705,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1134",5353625.046,"Suldal",1909.018247,172.3661785,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1141",7749763.368,"Finnøy",388.3073287,283.9151293,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1142",777773.407,"Rennesøy",215.3021677,149.7881054,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1145",1215727.313,"Bokn",188.6204715,141.4520961,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1146",4459336.757,"Tysvær",635.7009671,210.2175249,2,"Ryfylke"
2005,"ROGALAND OG AGDER","1149",1472268.787,"Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra"
2005,"ROGALAND OG AGDER","1160",4478170.991,"Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra"
2005,"SOGN OG FJORDANE","1401",5560742.742,"Flora",2140.216593,1447.185281,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1411",9785866.534,"Gulen",983.1503441,385.9427734,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1412",6715494.161,"Solund",1747.705205,1519.458615,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1413",7746439.192,"Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1416",3443592.143,"Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1428",4294631.532,"Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1429",NA,"Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1438",6719570.876,"Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1439",3418914.475,"Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1441",3005477.145,"Selje",1041.307731,815.1905357,4,"Sotra - Stadt"
2005,"SOGN OG FJORDANE","1445",218177.443,"Gloppen",1095.283335,64.71387848,4,"Sotra - Stadt"
2005,"TROMS","1902",3560745.607,"Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa"
2005,"TROMS","1903",4108036.155,"c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja"
2005,"TROMS","1911",4352943.719,"Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja"
2005,"TROMS","1913",2035756.765,"Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja"
2005,"TROMS","1917",3355580.262,"Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja"
2005,"TROMS","1919",3700167.154,"Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja"
2005,"TROMS","1920",501552.882,"c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja"
2005,"TROMS","1923",2685575.908,"Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja"
2005,"TROMS","1926",5143573.293,"Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja"
2005,"TROMS","1927",4664494.884,"Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja"
2005,"TROMS","1928",5099725.828,"Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja"
2005,"TROMS","1929",1473925.187,"Berg",1130.553961,836.6595009,10,"Andfjorden - Senja"
2005,"TROMS","1931",1164203.46,"Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja"
2005,"TROMS","1936",3153442.241,"Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa"
2005,"TROMS","1938",2307872.056,"Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa"
2005,"TROMS","1940",2943137.034,"c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa"
2005,"TROMS","1941",5372025.746,"Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa"
2005,"TROMS","1942",3225714.706,"c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa"
2005,"TROMS","1943",5629258.858,"Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa"
2005,"UOPPGITT","0436",406828,NA,NA,NA,NA,NA
2006,"FINNMARK","2004",1150485.368,"Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark"
2006,"FINNMARK","2012",14950219.023,"Alta",4557.653447,708.1851191,12,"Vest-Finnmark"
2006,"FINNMARK","2014",7714625.581,"Loppa",2808.583223,2119.706465,12,"Vest-Finnmark"
2006,"FINNMARK","2017",3011720.29,"Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark"
2006,"FINNMARK","2019",115461.352,"Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark"
2006,"FINNMARK","2027",NA,"c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark"
2006,"FINNMARK","2030",385288.077,"Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark"
2006,"HORDALAND","1201",54.75,"Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra"
2006,"HORDALAND","1211",5114767.711,"Etne",813.6223475,78.34093032,3,"Karmøy - Sotra"
2006,"HORDALAND","1216",3289570.339,"Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra"
2006,"HORDALAND","1219",9468995.142,"Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra"
2006,"HORDALAND","1221",2922372.647,"Stord",225.8352936,82.10288014,3,"Karmøy - Sotra"
2006,"HORDALAND","1222",2209255.774,"Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra"
2006,"HORDALAND","1223",8314517.86,"Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra"
2006,"HORDALAND","1224",13605791.75,"Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra"
2006,"HORDALAND","1227",5429719.405,"Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra"
2006,"HORDALAND","1238",6878591.577,"Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra"
2006,"HORDALAND","1241",8145598.763,"Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra"
2006,"HORDALAND","1242",749341.148,"Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra"
2006,"HORDALAND","1243",3078785.275,"Os",245.5334546,105.9583688,3,"Karmøy - Sotra"
2006,"HORDALAND","1244",10482327.058,"Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra"
2006,"HORDALAND","1245",340999.482,"Sund",564.9350737,465.3951173,3,"Karmøy - Sotra"
2006,"HORDALAND","1246",2500144.691,"Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra"
2006,"HORDALAND","1253",8890140.791,"Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt"
2006,"HORDALAND","1256",933904.246,"Meland",130.5215556,37.93871393,4,"Sotra - Stadt"
2006,"HORDALAND","1259",NA,"Øygarden",985.9432893,919.148288,4,"Sotra - Stadt"
2006,"HORDALAND","1260",1651078.34,"Radøy",209.7977221,98.34900146,4,"Sotra - Stadt"
2006,"HORDALAND","1263",3599411.02,"Lindås",637.0389369,162.042687,4,"Sotra - Stadt"
2006,"HORDALAND","1264",442052.8,"Austrheim",161.9491533,104.393437,4,"Sotra - Stadt"
